beta1,beta2,beta3,beta4,beta5,beta6,betaeff,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7
1.00,0.41,0.14,0.46,0.36,0.22,0.45,-0.06,0.03,0.15,0.07,0.10,0.08,-0.12
0.41,1.00,0.30,0.80,0.70,0.47,0.82,0.01,0.03,0.26,0.22,0.13,0.16,0.23
0.14,0.30,1.00,0.41,0.45,0.33,0.63,0.05,0.06,0.17,0.16,0.08,0.16,0.49
0.46,0.80,0.41,1.00,0.83,0.57,0.94,0.04,0.07,0.30,0.26,0.14,0.22,0.58
0.36,0.70,0.45,0.83,1.00,0.55,0.90,0.03,0.06,0.28,0.26,0.13,0.25,0.64
0.22,0.47,0.33,0.57,0.55,1.00,0.65,0.06,0.04,0.20,0.20,0.17,0.06,0.53
0.45,0.82,0.63,0.94,0.90,0.65,1.00,0.04,0.07,0.31,0.27,0.15,0.23,0.61
-0.06,0.01,0.05,0.04,0.03,0.06,0.04,1.00,0.05,0.03,0.00,-0.01,-0.04,0.21
0.03,0.03,0.06,0.07,0.06,0.04,0.07,0.05,1.00,0.05,0.03,0.00,-0.01,0.47
0.15,0.26,0.17,0.30,0.28,0.20,0.31,0.03,0.05,1.00,0.10,0.05,0.08,0.30
0.07,0.22,0.16,0.26,0.26,0.20,0.27,0.00,0.03,0.10,1.00,-0.01,0.06,0.29
0.10,0.13,0.08,0.14,0.13,0.17,0.15,-0.01,0.00,0.05,-0.01,1.00,0.04,0.10
0.08,0.16,0.16,0.22,0.25,0.06,0.23,-0.04,-0.01,0.08,0.06,0.04,1.00,0.16
-0.12,0.23,0.49,0.58,0.64,0.53,0.61,0.21,0.47,0.30,0.29,0.10,0.16,1.00
